,id,publishTime,duration_seconds,viewCount,likeCount,contrast,hue,saturation,brightness
191,a9PpVo6b7z0,2020-01-10 08:00:01+00:00,2318,77362235,319280,60.721,127,116,0
192,XREDfjNee3A,2020-03-20 07:00:17+00:00,2281,110757014,442012,58.542,175,103,0
193,65Ly3XJxdAQ,2018-04-06 07:00:01+00:00,2213,671358274,2307348,53.98,112,131,0
194,E-KhPmgPmfo,2017-12-01 08:00:01+00:00,2353,726028949,2556232,65.401,198,125,0
195,dPnxJqVczuY,2020-08-21 07:00:09+00:00,2210,93711622,398512,48.025,139,102,0
196,yvJqNyZD2gc,2021-06-26 07:00:04+00:00,2227,42232168,199196,55.855,174,137,0
197,9jgm2O0dSxo,2019-07-12 07:00:01+00:00,2143,82907396,323902,59.865,133,104,0
198,PeZof-x70-8,2020-08-14 07:00:03+00:00,2120,183244277,757314,65.697,113,104,0
199,iRKXPWWWmmc,2020-06-12 07:00:10+00:00,2100,68847894,309519,56.219,144,100,0
200,KEh8MIp5e5A,2020-05-29 07:00:05+00:00,2029,144361949,569016,55.337,160,116,0
201,Ser69-nsRNs,2021-07-03 11:00:08+00:00,3406,64217181,258567,54.855,155,152,0
202,7i68cD70dEE,2021-05-22 07:00:02+00:00,3966,56813251,258638,53.067,184,107,0
203,f4ldqAe4iE0,2021-07-24 10:12:23+00:00,2066,29009438,105903,62.287,81,96,0
204,HtBkc5YgZpI,2020-10-30 08:00:03+00:00,2154,113167258,332794,59.469,162,130,0
205,KPdgH4ZBxA4,2021-02-12 08:00:13+00:00,2009,75092497,376022,57.29,110,86,0
206,u1Xa0zpx0W8,2021-04-03 07:00:26+00:00,3090,40593811,160862,56.176,92,111,0
207,yPGPeodFpNo,2021-04-08 07:00:28+00:00,2104,56700409,271365,56.694,168,113,0
208,oBrYj0ld4vM,2019-08-09 07:00:12+00:00,2232,65489609,281759,57.101,160,117,0
209,ljDdDVbO0Vc,2021-03-26 08:00:08+00:00,2033,44221615,210128,62.471,145,102,0
210,8puMBZoa2gw,2020-10-09 07:00:01+00:00,2155,48645856,204820,65.462,54,111,0
211,IImVJ5mFe4s,2021-01-01 08:00:11+00:00,2151,38739898,165715,62.745,125,128,0
212,KJZWzpi8xrc,2019-05-31 07:00:01+00:00,2153,67178652,276649,58.171,159,118,0
213,1BEJkXrH9Fc,2020-02-07 08:00:00+00:00,2221,174988846,647757,50.369,177,93,0
214,U5V_LW9M9Zs,2021-08-21 07:00:01+00:00,3035,32567056,133653,66.735,224,103,0
215,OvEcyoMfuzs,2018-01-19 08:00:01+00:00,2395,264898289,981486,54.007,183,134,0
216,2cB9UlpUGYE,2020-03-13 08:00:00+00:00,2227,238365231,850421,57.692,161,114,0
217,8h_Km4X-zfc,2018-05-11 07:00:02+00:00,2221,79295535,303394,56.138,146,143,0
218,7Hfzfr8iw5w,2021-05-20 09:00:05+00:00,2034,23716112,117750,52.665,166,121,0
219,F06zEw8s12Y,2021-04-15 07:00:07+00:00,2027,36369822,159817,62.621,124,117,0
220,SGkGXBsfMNs,2021-05-04 07:00:06+00:00,2173,39614198,166375,53.834,172,119,0
221,so8WcBeRswQ,2020-04-10 07:00:20+00:00,2231,64091652,267829,59.147,154,119,0
222,rxkNpOQGf0k,2021-01-29 08:29:59+00:00,3543,108741887,245086,62.888,143,113,0
223,mWn8CzD0FLI,2020-12-25 00:00:07+00:00,3110,43588841,169121,69.754,124,128,0
224,Gmrj5-70xV4,2021-04-17 07:00:03+00:00,2521,92801290,411676,71.16,155,93,0
225,Mdq8wqWjGD4,2021-02-26 08:14:09+00:00,2141,74404155,298292,59.596,121,129,0
226,sEZ_Fk0xpr4,2020-07-17 07:00:18+00:00,2150,93485064,400640,54.461,182,100,0
227,kJUYEEVE_Ok,2021-06-05 23:22:50+00:00,2298,18494928,80150,62.933,131,123,0
228,pY98SfycUQE,2021-07-17 08:41:01+00:00,3161,33483072,127859,52.212,219,122,0
229,i7ygKQunfmE,2018-07-24 07:00:08+00:00,2124,749464943,2828448,66.756,147,117,0
230,BEJLI_y6OHE,2020-06-26 07:00:03+00:00,2235,60861384,259314,58.254,110,125,0
231,6mGPTKgNq3U,2017-12-08 08:00:00+00:00,2385,249234766,759803,64.417,167,138,0
232,DPAOTo0DpPg,2021-05-01 07:00:01+00:00,2160,19986959,117162,62.67,96,108,0
233,dSi9EeQhpLw,2021-03-05 08:00:07+00:00,3251,50454104,184914,56.304,151,105,0
234,qXcMNBQnQMM,2021-04-24 07:00:24+00:00,7394,137454987,410470,61.346,121,125,0
235,PDJABpzOqnE,2020-11-13 08:00:04+00:00,3503,88482637,328837,60.669,167,117,0
236,ydmzJEvnWmI,2021-04-29 07:00:22+00:00,2260,38592587,127420,69.029,141,93,0
237,UGtBdaNn4p4,2021-06-24 08:31:16+00:00,2200,27580010,131021,57.198,155,94,0
238,DjpbzHnLmhc,2020-07-10 07:00:02+00:00,2116,68011419,283185,48.983,158,87,0
239,APilV51aKv8,2017-04-19 07:00:00+00:00,3886,133308991,348188,61.737,176,138,0
240,YJ2IvsLumhE,2021-05-29 11:30:03+00:00,2357,44744352,229458,55.175,162,118,0
241,99-ovdUzdI8,2021-06-10 07:00:04+00:00,2111,25206699,115185,56.805,173,110,0
242,18T0PxN2SgY,2016-12-13 08:00:00+00:00,3763,5572873,9542,74.582,215,102,0
243,4rOfL5Vxuiw,2021-06-19 07:03:42+00:00,1956,20296772,118842,54.224,188,142,0
244,bXA3EM4LqMU,2021-06-12 07:12:10+00:00,2202,33069054,159378,67.89,240,118,0
245,okq0ux8de70,2016-06-24 07:00:01+00:00,4671,66274149,119528,62.526,164,149,0
246,lWgdu_APQUk,2016-05-16 07:00:01+00:00,4415,16525984,34551,64.272,208,103,0
247,G6dVkUf9dQg,2021-12-21 08:00:12+00:00,186,1721720,13365,69.395,129,117,0
