Unnamed: 0,Ano,Mês,Dia,Hora,ClasseArea,DSR,FWI,ISI,DC,DMC,FFMC,BUI,tempoAlertaIntervencao,D0,D1,D2,D3,D4
28391,2015,8,16,18,0,8.82391933541983,26.2238467626341,5.35293219126025,816.415601071729,255.69165988833,87.1745099245737,286.815392399967,0.15,0,1,0,1,0
28392,2015,8,16,21,0,7.06822741764359,23.1345361768612,4.46063412033102,950.956429428441,270.697825763948,85.8556003311715,316.301137391942,0.1333333333333333,0,0,1,0,1
28393,2015,8,17,1,0,4.13015846723003,17.0776513074374,3.34886065458229,683.889770441721,101.493150687164,85.3685568746339,148.055569551606,0.1,0,0,0,0,0
28394,2015,8,17,12,0,11.0841522936318,29.8298960695402,6.43206518578486,1040.94478467577,314.030393841311,86.8673637494697,358.03349687841,0.25,0,1,1,0,0
28395,2015,8,17,15,0,6.14033712287097,21.3663670420625,4.01433560207261,784.967701209321,231.513427231518,84.3361428791513,266.515701016184,0.2333333333333333,0,0,0,0,1
28396,2015,8,17,15,0,0.732471183398229,6.42739254277676,1.28508282014296,511.178190392226,66.9052888631605,78.090763352338,100.820863396845,0.25,0,1,0,1,1
28397,2015,8,17,17,0,0.80814458113529,6.79451220562255,1.32178378013887,615.407872178312,67.187801907661,77.8023163811483,105.563176637674,0.2833333333333333,0,0,1,1,0
28398,2015,8,17,18,0,11.0218256033826,29.7350143943079,6.39791335302737,1020.77283315083,375.841141894123,89.7918280070937,391.40296382638,0.1333333333333333,0,1,0,0,0
28399,2015,8,17,19,0,0.483763925054046,5.08453419526867,1.15274791708507,565.301960390967,51.6067532046801,74.7729403998234,84.0345873750094,0.2166666666666666,0,0,1,1,0
28400,2015,8,17,21,0,7.00070502605913,23.0094151050451,4.5198065511198,819.070810532336,172.225990162603,82.8953392726882,225.770233126344,0.1833333333333333,0,0,1,0,1
28401,2015,8,17,21,0,4.07028853389245,16.9373461362147,3.33865159253213,575.342112525548,106.241918258364,87.3227171167764,145.372910217232,0.6,0,1,1,1,1
28402,2015,8,17,22,0,5.75270058722096,20.5935127597273,4.07090692405573,686.129502247736,128.496265368346,87.8626734365144,175.040082786967,0.5,0,1,0,1,1
28403,2015,8,18,0,0,12.0497161027457,31.2712838965854,6.91092691449277,877.30658236355,288.925577859358,87.6794500262467,316.920553329851,0.1666666666666666,0,1,0,1,0
28404,2015,8,18,7,0,16.5780770926655,37.4478333475078,9.05082321802266,1131.91642439236,344.284307972482,88.2911361162837,391.142973421981,10.2,0,1,1,0,1
28405,2015,8,18,7,0,1.13005775901199,8.21154184702431,1.4789022921356,606.109974785182,82.7809816726903,80.029936305328,123.420728659371,0.6166666666666667,0,1,0,1,1
28406,2015,8,18,10,0,8.44497800803276,25.5815195637452,5.4376996636657,755.694128927471,135.212717384467,88.5726378959929,186.846548284449,0.1666666666666666,0,1,0,0,0
28407,2015,8,18,11,0,10.0794933181914,28.2708501426142,5.9607265668667,895.472847692296,263.329238728069,85.1645939439553,303.520142548005,0.2666666666666666,0,0,1,0,1
28408,2015,8,18,12,0,3.34783761574099,15.1670598848249,3.43603020661321,666.151784155944,66.6715461670417,85.2112241453631,106.656423978517,0.0333333333333333,0,0,0,0,0
28409,2015,8,18,12,0,4.017507051799,16.8129063169455,3.82401652303704,648.594246021323,71.030994043789,86.6798280998013,111.527161460534,0.2166666666666666,0,0,1,1,0
28410,2015,8,18,13,0,2.58020849484511,13.0917493464672,2.89317774119113,518.299135582656,69.3013398719265,85.1407841803378,103.878809825133,0.3666666666666666,0,1,0,1,1
28411,2015,8,18,13,0,2.73272105776567,13.5234768281172,2.91531905544724,622.932048569914,69.9688107602644,85.8816171159,109.257609788319,0.2833333333333333,0,0,1,1,0
28412,2015,8,18,13,0,3.30857824302244,15.0663157638469,3.20216239091345,647.588695486817,75.9555600136315,85.723576490588,117.466932338899,0.1666666666666666,0,1,0,0,1
28413,2015,8,18,13,0,10.0140325517522,28.1669722898156,5.91417426576462,1051.97441490419,291.278768652959,87.3934949771969,344.256539737193,0.35,1,0,0,0,0
28414,2015,8,18,14,0,12.9804010119764,32.6137457432604,7.3510377898693,974.7009936199,295.309436165455,87.7725243400207,336.068501586321,0.15,0,1,0,1,0
28415,2015,8,18,15,0,4.84780025216413,18.6955285327339,4.29534832595593,664.61172541301,74.5260424677182,83.9266571377107,116.416311801028,0.1666666666666666,0,0,0,0,0
28416,2015,8,18,15,0,9.18960021203501,26.8324127249562,5.54334668839639,975.845195159184,213.24170172083,84.4738832112125,275.808961136683,0.2333333333333333,0,1,1,0,0
28417,2015,8,18,16,0,4.017507051799,16.8129063169455,3.82401652303704,648.594246021323,71.030994043789,86.6798280998013,111.527161460534,0.15,0,0,1,1,0
28418,2015,8,18,16,0,3.34783761574099,15.1670598848249,3.43603020661321,666.151784155944,66.6715461670417,85.2112241453631,106.656423978517,0.0333333333333333,0,0,0,0,0
28419,2015,8,18,17,0,8.62982464539727,25.8963777179411,5.23480545537878,1089.1359937112,278.213167559554,90.0914936804278,339.572200280397,0.1833333333333333,0,1,1,1,0
28420,2015,8,18,17,0,5.81499366415793,20.7192043824813,4.35402359962515,582.417623756017,108.983448102207,88.5164689426163,148.498408552263,0.0333333333333333,0,1,1,1,1
28421,2015,8,18,17,0,7.11508726211273,23.2210634698751,4.71084502434406,741.329985461962,140.904920518286,88.4343596594319,191.034709999717,0.1166666666666666,0,1,0,0,1
28422,2015,8,18,17,0,8.06730846636696,24.9287457894243,5.19758138463954,751.106676176568,142.751405309034,89.2377716628076,193.543261376101,0.1,0,1,0,0,1
