Regiões,Especie,2010_hec_k,2010_%,2015_hec_k,2015_%
TÂMEGA E SOUSA,Alfarrobeira,0.0,0.0,0.0,0.0
TÂMEGA E SOUSA,Acácias,0.15,0.2622377622377622,0.13,0.2
TÂMEGA E SOUSA,Outras folhosas,8.16,14.265734265734265,8.7,14.8
TÂMEGA E SOUSA,Outras resinosas,1.28,2.237762237762238,0.78,1.3
TÂMEGA E SOUSA,STD s/espécie*,1.28,2.237762237762238,0.18,0.3
TÂMEGA E SOUSA,total,57.17,99.94755244755244,58.84,100.0
TERRAS DE TRÁS0OS0MONTES,Pinheiro0bravo,17.7,13.860610806577917,24.92,17.2
TERRAS DE TRÁS0OS0MONTES,Eucaliptos,4.68,3.6648394675019578,4.23,2.9
TERRAS DE TRÁS0OS0MONTES,Sobreiro,13.63,10.6734534064213,14.56,10.1
TERRAS DE TRÁS0OS0MONTES,Azinheira,0.4,0.31323414252153486,1.25,0.9
TERRAS DE TRÁS0OS0MONTES,Carvalhos,21.25,16.64056382145654,29.27,20.3
TERRAS DE TRÁS0OS0MONTES,Pinheiro0manso,0.12,0.09397024275646046,0.15,0.1
TERRAS DE TRÁS0OS0MONTES,Castanheiro,23.99,18.78621769772905,28.61,19.8
TERRAS DE TRÁS0OS0MONTES,Alfarrobeira,0.0,0.0,0.0,0.0
TERRAS DE TRÁS0OS0MONTES,Acácias,0.05,0.03915426781519186,0.03,0.0
TERRAS DE TRÁS0OS0MONTES,Outras folhosas,20.65,16.170712607674233,21.73,15.0
TERRAS DE TRÁS0OS0MONTES,Outras resinosas,25.2,19.733750978856694,19.41,13.4
TERRAS DE TRÁS0OS0MONTES,STD s/espécie*,0.03,0.023492560689115115,0.35,0.2
TERRAS DE TRÁS0OS0MONTES,total,127.69,99.99216914643696,144.49,100.0
BEIRA BAIXA,Pinheiro0bravo,61.7,37.88995332842054,72.54,39.0
BEIRA BAIXA,Eucaliptos,53.48,32.842053549496434,65.24,35.1
BEIRA BAIXA,Sobreiro,19.88,12.208302628346843,20.94,11.3
BEIRA BAIXA,Azinheira,14.42,8.855318103660034,17.85,9.6
BEIRA BAIXA,Carvalhos,2.08,1.2773274379759274,2.61,1.4
BEIRA BAIXA,Pinheiro0manso,0.4,0.24563989191844757,1.75,0.9
BEIRA BAIXA,Castanheiro,0.03,0.018422991893883564,0.1,0.1
BEIRA BAIXA,Alfarrobeira,0.0,0.0,0.0,0.0
BEIRA BAIXA,Acácias,0.03,0.018422991893883564,0.13,0.1
BEIRA BAIXA,Outras folhosas,1.33,0.8167526406288381,1.4,0.8
BEIRA BAIXA,Outras resinosas,9.26,5.6865634979120605,2.2,1.2
BEIRA BAIXA,STD s/espécie*,0.23,0.14124293785310735,1.03,0.6
BEIRA BAIXA,total,162.83,99.99385900270205,185.77,100.0
BEIRAS E SERRA DA ESTRELA,Pinheiro0bravo,54.53,53.3457249070632,61.42,55.0
BEIRAS E SERRA DA ESTRELA,Eucaliptos,7.02,6.867540598708666,7.15,6.4
BEIRAS E SERRA DA ESTRELA,Sobreiro,3.56,3.482684406182743,4.33,3.9
BEIRAS E SERRA DA ESTRELA,Azinheira,0.4,0.3913128546272745,0.57,0.5
BEIRAS E SERRA DA ESTRELA,Carvalhos,5.75,5.62512228526707,7.65,6.9
BEIRAS E SERRA DA ESTRELA,Pinheiro0manso,0.48,0.46957542555272935,0.55,0.5
BEIRAS E SERRA DA ESTRELA,Castanheiro,4.18,4.089219330855018,3.41,3.1
BEIRAS E SERRA DA ESTRELA,Alfarrobeira,0.0,0.0,0.0,0.0
BEIRAS E SERRA DA ESTRELA,Acácias,1.03,1.0076306006652318,1.48,1.3
BEIRAS E SERRA DA ESTRELA,Outras folhosas,12.91,12.629622383095281,14.2,12.7
BEIRAS E SERRA DA ESTRELA,Outras resinosas,12.06,11.798082567012326,10.71,9.6
BEIRAS E SERRA DA ESTRELA,STD s/espécie*,0.3,0.2934846409704558,0.12,0.1
BEIRAS E SERRA DA ESTRELA,total,102.2,99.98043435726862,111.6,100.0
MÉDIO TEJO,Pinheiro0bravo,54.59,35.75451925596019,51.81,33.7
MÉDIO TEJO,Eucaliptos,66.73,43.70578988734609,71.04,46.2
MÉDIO TEJO,Sobreiro,15.46,10.1257532093267,15.49,10.1
MÉDIO TEJO,Azinheira,0.38,0.24888656012575322,0.35,0.2
MÉDIO TEJO,Carvalhos,2.5,1.6374115797746926,2.4,1.6
MÉDIO TEJO,Pinheiro0manso,1.67,1.0937909352894946,1.92,1.3
MÉDIO TEJO,Castanheiro,0.03,0.01964893895729631,0.03,0.0
MÉDIO TEJO,Alfarrobeira,0.0,0.0,0.0,0.0
MÉDIO TEJO,Acácias,0.2,0.1309929263819754,0.3,0.2
MÉDIO TEJO,Outras folhosas,9.67,6.33350799056851,9.2,6.0
MÉDIO TEJO,Outras resinosas,1.33,0.8711029604401365,1.03,0.7
MÉDIO TEJO,STD s/espécie*,0.12,0.07859575582918524,0.3,0.2
MÉDIO TEJO,total,152.68,100.00000000000003,153.86,100.0
OESTE,Pinheiro0bravo,18.07,29.420384239661345,17.26,28.0
OESTE,Eucaliptos,35.67,58.07554542494301,36.48,59.1
OESTE,Sobreiro,0.17,0.2767828069032888,0.57,0.9
OESTE,Azinheira,0.0,0.0,0.0,0.0
OESTE,Carvalhos,0.03,0.04884402474763919,0.03,0.0
OESTE,Pinheiro0manso,1.52,2.4747639205470526,1.02,1.7
OESTE,Castanheiro,0.08,0.1302507326603712,0.05,0.1
OESTE,Alfarrobeira,0.0,0.0,0.0,0.0
OESTE,Acácias,0.02,0.0325626831650928,0.02,0.0
